"ticker","company_name","sector","industry","market_cap_category"
"KALYANIFRG.NS","Kalyani Forge Limited","Other","Other","Other"
"KALYANKJIL.NS","Kalyan Jewellers India Limited","Consumer Cyclical","Consumer Durables","Mid Cap"
"KAMAHOLD.NS","Kama Holdings Limited","Other","Other","Other"
"KAMATHOTEL.NS","Kamat Hotels (I) Limited","Other","Other","Other"
"KAMDHENU.NS","Kamdhenu Limited","Other","Other","Other"
"KAMOPAINTS.NS","Kamdhenu Ventures Limited","Other","Other","Other"
"KANANIIND.NS","Kanani Industries Limited","Other","Other","Other"
"KANPRPLA.NS","Kanpur Plastipack Limited","Other","Other","Other"
"KANSAINER.NS","Kansai Nerolac Paints Limited","Other","Other","Other"
"KAPSTON.NS","Kapston Services Limited","Other","Other","Other"
"KARMAENG.NS","Karma Energy Limited","Other","Other","Other"
"KARURVYSYA.NS","Karur Vysya Bank Limited","Financial Services","Financial Services","Small Cap"
"KAUSHALYA.NS","Kaushalya Infrastructure Development Corporation Limited","Other","Other","Other"
"KAVDEFENCE.NS","Kavveri Defence & Wireless Technologies Limited","Other","Other","Other"
"KAYA.NS","Kaya Limited","Other","Other","Other"
"KAYNES.NS","Kaynes Technology India Limited","Industrials","Capital Goods","Small Cap"
"KCP.NS","KCP Limited","Other","Other","Other"
"KCPSUGIND.NS","KCP Sugar and Industries Corporation Limited","Other","Other","Other"
"KDDL.NS","KDDL Limited","Other","Other","Other"
"KEC.NS","KEC International Limited","Industrials","Construction","Small Cap"
"KEEPLEARN.NS","DSJ Keep Learning Limited","Other","Other","Other"
"KEI.NS","KEI Industries Limited","Industrials","Capital Goods","Mid Cap"
"KELLTONTEC.NS","Kellton Tech Solutions Limited","Other","Other","Other"
"KENNAMET.NS","Kennametal India Limited","Other","Other","Other"
"KERNEX.NS","Kernex Microsystems (India) Limited","Other","Other","Other"
"KEYFINSERV.NS","Keynote Financial Services Limited","Other","Other","Other"
"KFINTECH.NS","Kfin Technologies Limited","Financial Services","Financial Services","Small Cap"
"KHADIM.NS","Khadim India Limited","Other","Other","Other"
"KHANDSE.NS","Khandwala Securities Limited","Other","Other","Other"
"KICL.NS","Kalyani Investment Company Limited","Other","Other","Other"
"KILITCH.NS","Kilitch Drugs (India) Limited","Other","Other","Other"
"KIMS.NS","Krishna Institute of Medical Sciences Limited","Healthcare","Healthcare","Small Cap"
"KINGFA.NS","Kingfa Science & Technology (India) Limited","Other","Other","Other"
"KIOCL.NS","KIOCL Limited","Other","Other","Other"
"KIRANVYPAR.NS","Kiran Vyapar Limited","Other","Other","Other"
"KIRIINDUS.NS","Kiri Industries Limited","Other","Other","Other"
"KIRLFER.NS","Kirloskar Ferrous Industries Limited","Other","Other","Other"
"KIRLOSBROS.NS","Kirloskar Brothers Limited","Other","Other","Other"
"KIRLOSENG.NS","Kirloskar Oil Engines Limited","Industrials","Capital Goods","Small Cap"
"KIRLOSIND.NS","Kirloskar Industries Limited","Other","Other","Other"
"KIRLPNU.NS","Kirloskar Pneumatic Company Limited","Other","Other","Other"
"KISSHT.NS","OnEMI Technology Solutions Limited","Other","Other","Other"
"KITEX.NS","Kitex Garments Limited","Other","Other","Other"
"KKCL.NS","Kewal Kiran Clothing Limited","Other","Other","Other"
"KLBRENG-B.NS","Kilburn Engineering Limited","Other","Other","Other"
"KMEW.NS","Knowledge Marine & Engineering Works Limited","Other","Other","Other"
"KMSUGAR.NS","K.M.Sugar Mills Limited","Other","Other","Other"
"KNAGRI.NS","KN Agri Resources Limited","Other","Other","Other"
"KNRCON.NS","KNR Constructions Limited","Other","Other","Other"
"KOHINOOR.NS","Kohinoor Foods Limited","Other","Other","Other"
"KOKUYOCMLN.NS","Kokuyo Camlin Limited","Other","Other","Other"
"KOLTEPATIL.NS","Kolte - Patil Developers Limited","Other","Other","Other"
"KOTAKBANK.NS","Kotak Mahindra Bank Limited","Financial Services","Financial Services","Large Cap"
"KOTARISUG.NS","Kothari Sugars And Chemicals Limited","Other","Other","Other"
"KOTHARIPET.NS","Kothari Petrochemicals Limited","Other","Other","Other"
